문항번호,문제,해설,답,이미지여부,동영상여부
50,자동 주차시스템 및 주차 보조시스템이 갖춰진 자동차의 설명으로 바르지 않은 것은?<br>① 주차 보조시스템에 따른 동작이 모두 종료되어 주차가 완료될 때까지<br>운전자는 돌발 상황에 대비한다.<br>② 자동 주차시스템을 사용하여 주차 시 안전한 장소에서 주차가 완료될 때<br>까지 운전자는 돌발 상황에 대비한다.<br>③ 자동 주차시스템을 작동하는 경우 주차완료 상태로 간주하여도<br>무방함으로 자리를 떠나도 된다.<br>④ 자동 주차시스템을 작동하는 경우 진행 예상 구역 앞이나 뒤 등 차량<br>가까이에서 대기하지 않는다.,자동 주차시스템 및 주차 보조시스템은 운전자의 주차 편의기능으로 주차보조에 해당함에<br>따라 운전자 및 차주는 해당 자동차가 주차될 때까지 돌발 상황에 대비하고 필요한 조치를<br>해야 한다. 더불어 자동 주차시스템을 작동하는 경우 주차 예상 구역 앞이나 뒤 등 차량의<br>가까이에서 대기하는 것은 오작동에 의한 인명사고가 발생할 수 있어 오작동이 일어나더라도<br>안전할 수 있는 곳에서 주차 완료 시까지 대기하여야 한다.,③,,
51,주행 보조장치가 장착된 자동차의 운전방법으로 바르지 않은 것은?<br>① 주행 보조장치를 사용하는 경우 주행 보조장치 작동 유지 여부를 수시로<br>확인하며 주행한다.<br>② 운전 개입 경고 시 주행 보조장치가 해제될 때까지 기다렸다가 개입해야 한다.<br>③ 주행 보조장치의 일부 또는 전체를 해제하는 경우 작동 여부를 확인한다.<br>④ 주행 보조장치가 작동되고 있더라도 즉시 개입할 수 있도록 대기하면서<br>운전한다.,운전 개입 경고 시 즉시 개입하여 운전해야 한다.,②,,
52,자동비상제동장치가 장착된 자동차가 주행하고 있는 경우 안전운행 방법으로 바르지<br>않은 것은?<br>① 자동비상제동장치가 장착된 자동차가 급히 끼어들기를 할 경우 앞차와의<br>추돌을 피하기 위해 자동비상제동장치가 작동할 수 있으므로 양보<br>운전한다.<br>② 자동비상제동장치가 장착된 자동차는 오작동을 일으키지 않기 때문에<br>안전거리를 확보할 필요가 없다.<br>③ 자동비상제동장치가 장착된 자동차 앞으로 갑자기 끼어들기 하는 차량이<br>있는 경우 자동비상제동장치가 작동할 수 있기 때문에 안전거리를 확보<br>한다.<br>④ 차량 진출로 및 정체 구간에서 앞차와의 안전거리를 제어하기 위해<br>제동장치가 작동할 수 있기 때문에 안전거리를 확보한다.,"자동비상제동장치가 장착된 자동차의 경우 충돌을 피하고자 자동비상제동장치가 자동으로<br>작동할 수 있으므로 충분한 안전거리를 확보해야 하며, 차량 정비 불량이나 비상 제동장치시<br>스템 오류뿐만 아니라 온도나 습도, 눈, 비와 같은 주행환경에 따라 오작동이 발생할 수 있기<br>때문에 양보 및 안전거리를 유지하여 돌발 상황에 대비하여야 한다.",②,,
53,다음은 타이어의 공기압이 부족할 때 문제점이다. 틀린 것은?<br>① 연비가 저하되어 손실이 따른다.<br>② 주행속도가 증가되어 위험하다.<br>③ 타이어와 휠이 분리되기 쉽다.<br>④ 주행저항이 커진다.,타이어 공기압이 부족하면 주행할 때 주행저항이 커지고 연비가 저하되며 타이어와 휠이<br>분리되기 쉬워진다.,②,,
54,"다음 중 전기자동차 충전기 사용 시 잘못된 사항은?<br>① 장거리 운행 전, 충전소 위치 정보를 확인한다.<br>② 충전기 커넥터와 차량 충전 소켓 부위에 물기가 있을 때는 사용하지<br>않는다.<br>③ 충전기 전원이 차단되어 있을 때는 전원을 강제로 연결시켜 사용한다.<br>④ 충전 중에는 가급적 멀리 이동하지 말고, 연락처를 남겨 놓아야 한다.","충전기 전원이 차단되어 있을 때는 사용자가 강제로 켜서는 안 되며, 충전기에 이상이 있을<br>시에는 사용을 자제하고 담당자에게 연락한다.",③,,
55,다음 중 자동차의 연비에 대한 설명으로 맞는 것은?<br>① 자동차가 1리터의 연료로 주행할 수 있는 거리이다.<br>② 내연기관에서 피스톤이 움직이는 부피이다.<br>③ 내연기관의 크랭크축에서 발생하는 회전력이다.<br>④ 75킬로그램의 무게를 1초 동안에 1미터 이동하는 일의 양이다.,"② 배기량, ③ 토크 ④ 마력",①,,
56,다음 중 운전자에게 엔진과열 상태를 알려주는 경고등은?<br>① 브레이크 경고등 ② 수온 경고등<br>③ 연료 경고등 ④ 주차브레이크 경고등,냉각수 수온이 적정 온도보다 많이 올라가면 경고등이 점멸된다. 수온경고등이 점멸될 경우<br>에는 정차 후 시동을 바로 끄지 않고 엔진 후드를 열어 자연 냉각 시켜야 한다. 그렇지 않으<br>면 엔진 과열로 인해 엔진의 부품이 손상될 가능성이 높다.,②,,
57,"전기자동차 관리방법으로 옳지 않은 2가지는?<br>① 주차 시 지상주차장을 이용하는 것이 좋다.<br>② 장거리 운전 시에는 사전에 배터리를 확인하고 충전한다.<br>③ 충전 직후에는 급가속, 급정지를 하지 않는 것이 좋다.<br>④ 열선시트, 열선핸들보다 공기 히터를 사용하는 것이 효율적이다.","① 전기자동차의 배터리는 저온에 취약하므로 가급적 지하주차장, 주차타워와 같은 실내주차<br>를 하는 것이 좋다.<br>④ 내연기관이 없는 전기자동차의 경우, 히터 작동에 많은 전기에너지를 사용한다. 따라서<br>열선시트, 열선핸들 사용하는 것이 좋다.<br>② 배터리 잔량과 이동거리를 고려하여 주행 중 방전되지 않도록 한다.<br>③ 충전 직후에는 배터리 온도가 상승한다. 이때 급가속, 급정지의 경우 전기에너지를 많이<br>소모하므로 배터리 효율을 저하시킨다. 더불어, 전기자동차 급속 충전의 경우, 차량별<br>커넥터가 다르기에 사전에 충전소 커넥터를 확인해야 한다.","①, ④",,
58,"도로교통법령상 자동차(단, 어린이통학버스 제외) 창유리 가시광선 투과율의 규제를<br>받는 것은?<br>① 뒷좌석 옆면 창유리 ② 앞면, 운전석 좌우 옆면 창유리<br>③ 앞면, 운전석 좌우, 뒷면 창유리 ④ 모든 창유리",자동차의 앞면 창유리와 운전석 좌우 옆면 창유리의 가시광선(可視光線)의 투과율이 대통령령<br>으로 정하는 기준보다 낮아 교통안전 등에 지장을 줄 수 있는 차를 운전하지 아니해야 한다.,②,,
59,자동차관리법령상 승용자동차는 몇 인 이하를 운송하기에 적합하게 제작된<br>자동차인가?<br>① 10인 ② 12인 ③ 15인 ④ 18인,승용자동차는 10인 이하를 운송하기에 적합하게 제작된 자동차이다.,①,,
60,자동차관리법령상 비사업용 신규 승용자동차의 최초검사 유효기간은?<br>① 1년 ② 2년 ③ 4년 ④ 6년,비사업용 승용자동차 및 피견인자동차의 최초 검사유효기간은 4년이다.,③,,
61,자동차관리법상 자동차의 종류로 맞는 2가지는?<br>① 건설기계 ② 화물자동차 ③ 경운기 ④ 특수자동차,"자동차관리법상 자동차는 승용자동차, 승합자동차, 화물자동차, 특수자동차, 이륜자동차가<br>있다.","②, ④",,
62,비사업용 및 대여사업용 전기자동차와 수소 연료전지자동차(하이브리드 자동차 제외)<br>전용번호판 색상으로 맞는 것은?<br>① 황색 바탕에 검은색 문자<br>② 파란색 바탕에 검은색 문자<br>③ 감청색 바탕에 흰색 문자<br>④ 보랏빛 바탕에 검은색 문자,"자동차 등록번호판 등의 기준에 관한 고시(국토교통부 고시 제2017-245호 2017.4.18. 일<br>부개정)<br>1. 비사업용<br>가. 일반용(SOFA자동차, 대여사업용 자동차 포함)：분홍빛 흰색바탕에 보랏빛 검은색 문자<br>나. 외교용(외교, 영사, 준외, 준영, 국기, 협정, 대표)：감청색바탕에 흰색문자<br>2. 자동차운수사업용：황색바탕에 검은색 문자<br>3. 이륜자동차번호판：흰색바탕에 청색문자<br>4. 전기자동차번호판：파란색 바탕에 검은색 문자",②,,
63,자동차관리법령상 구조변경 차량에 대한 안전도를 점검하기 위한 검사는?<br>① 신규검사 ② 정기검사 ③ 외관검사 ④ 튜닝검사,자동차를 튜닝 하고자 하는 경우 자동차관리법시행령 제8조에서 정한 구조 및 장치를 사전<br>에 한국교통안전공단으로부터 승인을 얻어서 변경토록 규정하여 자동차의 안전도를 확보하<br>도록 하는 것이다.,④,,
64,자동차관리법령상 소형 승합자동차의 검사 유효기간으로 맞는 것은?<br>① 6개월 ② 1년 ③ 2년 ④ 4년,"자동차관리법 시행규칙 별표15의2 경형, 소형의 승합 및 화물자동차의 검사 유효기간은 1년<br>이다.",②,,
65,자동차관리법령상 차령이 6년이 지난 피견인자동차의 검사 유효기간으로 맞는 것은?<br>① 6개월 ② 1년 ③ 2년 ④ 4년,자동차관리법 시행규칙 별표15의2 비사업용 승용자동차 및 피견인자동차의 검사 유효기간<br>은 2년(신조차로서 법 제43조제5항의 규정에 의하여 신규검사를 받은 것으로 보는 자동차의<br>최초검사 유효기간은 4년)이다.,③,,
66,자동차관리법령상 신차 구입 시 임시운행 허가 유효기간의 기준은?<br>① 10일 이내 ② 15일 이내 ③ 20일 이내 ④ 30일 이내,자동차관리법 시행령 제7조제2항제1호 임시운행 허가 유효기간은 10일 이내이다.,①,,
67,다음 중 자동차관리법령에 따른 자동차 변경등록 사유가 아닌 것은?<br>① 자동차의 사용본거지를 변경한 때<br>② 자동차의 차대번호를 변경한 때<br>③ 소유권이 변동된 때<br>④ 법인의 명칭이 변경된 때,"자동차등록령 제22조, 제26조 자동차 소유권의 변동이 된 때에는 이전등록을 하여야<br>한다.",③,,
68,"자동차의 화재 예방 요령에 대한 설명 중 가장 옳은 것은?<br>① 자동차 배선의 상태, 연료 계통, 점화 장치 등은 6개월마다 정기 점검한다.<br>② 주행 중 흡연 시 담뱃재는 차창 밖으로 버리는 것이 안전하다.<br>③ 차내에 라이터나 성냥을 보관할 때에는 반드시 서랍에 보관하여야 한다.<br>④ 화재 발생에 대비하여 차내에는 항상 소화기를 비치하고 사용법을 익혀 둔다.","자동차 배선의 상태, 연료 계통, 점화 장치 등은 수시로 점검하며 주행 중 담뱃재는 차 내에<br>버린다. 또한, 차내에 라이터나 성냥을 보관하지 않는다.",④,,
69,화물자동차 운수사업법에 따른 화물자동차 운송사업자는 관련 법령에 따라<br>운행기록장치에 기록된 운행기록을 ( )동안 보관하여야 한다. ( ) 안에<br>기준으로 맞는 것은?<br>① 3개월 ② 6개월 ③ 1년 ④ 2년,"교통안전법 시행령 제45조 제2항, 교통안전법상 6개월 동안 보관하여야 한다.",②,,
70,자동차관리법령상 자동차를 이전 등록하고자 하는 자는 매수한 날부터 ( )<br>이내에 등록해야 한다. ( )에 기준으로 맞는 것은?<br>① 15일 ② 20일 ③ 30일 ④ 40일,자동차를 매수한 날부터 15일 이내 이전 등록해야 한다.,①,,
71,자동차관리법령상 자동차의 정기검사의 기간은 검사 유효기간 만료일 전후<br>( ) 이내이다. ( )에 기준으로 맞는 것은?<br>① 31일 ② 41일 ③ 51일 ④ 61일,정기검사의 기간은 검사 유효기간 만료일 전후 31일 이내이다.,①,,
72,자동차손해배상보장법상 의무보험에 가입하지 않은 자동차보유자의 처벌 기준으로<br>맞는 것은?(자동차 미운행)<br>① 300만 원 이하의 과태료<br>② 500만 원 이하의 과태료<br>③ 1년 이하의 징역 또는 1천만 원 이하의 벌금<br>④ 2년 이하의 징역 또는 2천만 원 이하의 벌금,자동차손해배상보장법 제48조(과태료) ③다음 각 호의 어느 하나에 해당하는 자에게는 300<br>만 원 이하의 과태료를 부과한다. 1. 제5조제1항부터 제3항까지의 규정에 따른 의무보험에<br>가입하지 아니한 자<br>제46조(벌칙) ②다음 각 호의 어느 하나에 해당하는 자는 1년 이하의 징역 또는 1천만원<br>이하의 벌금에 처한다.<br>2. 제8조 본문을 위반하여 의무보험에 가입되어 있지 아니한 자동차를 운행한 자동차보유자,①,,
73,자동차관리법령상 자동차 소유권이 상속 등으로 변경될 경우 하는 등록의 종류는?<br>① 신규등록 ② 이전등록<br>③ 변경등록 ④ 말소등록,"자동차관리법 제12조 자동차 소유권이 매매, 상속, 공매, 경매 등으로 변경될 경우 양수인이<br>법정기한 내 소유권의 이전등록을 해야 한다.",②,,
